0000167384;Ben Neill;;Avant-Garde, Electronic, Classical;Ambient, Electronica, Jungle/Drum'n'Bass, Trance, Avant-Garde Music, Chamber Music, Mixed Media;http://cps-static.rovicorp.com/3/JPG_500/MI0003/876/MI0003876560.jpg?partner=allrovi.com
0000256442;Jon;;Avant-Garde, Pop/Rock;Experimental;http://cps-static.rovicorp.com/3/JPG_400/MI0001/339/MI0001339329.jpg?partner=allrovi.com
0000221024;David Krakauer;;Avant-Garde, International, Classical, Jazz;Klezmer, Jewish Music, Modern Composition, Concerto, Chamber Music, Avant-Garde Jazz, Symphony, Vocal Music;http://cps-static.rovicorp.com/3/JPG_400/MI0004/006/MI0004006294.jpg?partner=allrovi.com
0000243611;David Tudor;;Avant-Garde, Classical, Pop/Rock, Electronic;Experimental, Avant-Garde Music, Keyboard, Electro-Acoustic, Process-Generated, Concerto;http://cps-static.rovicorp.com/3/JPG_400/MI0002/862/MI0002862263.jpg?partner=allrovi.com
0000054707;Bessie Smith;;Blues, Jazz;Classic Female Blues, Early Jazz, Vaudeville Blues;http://cps-static.rovicorp.com/3/JPG_400/MI0001/400/MI0001400928.jpg?partner=allrovi.com
0000608701;Muddy Waters;;Blues;Blues Revival, Chicago Blues, Delta Blues, Electric Blues, Electric Chicago Blues, Regional Blues, Slide Guitar Blues;http://cps-static.rovicorp.com/3/JPG_400/MI0001/470/MI0001470606.jpg?partner=allrovi.com
0000806542;Etta James;;"Blues, R&B;, Pop/Rock";"Early R&B;, Soul-Blues, Soul";http://cps-static.rovicorp.com/3/JPG_400/MI0003/879/MI0003879818.jpg?partner=allrovi.com
0000059156;B.B. King;;"Blues, R&B;";"Modern Electric Blues, Soul-Blues, Early R&B;, Memphis Blues, Regional Blues";http://cps-static.rovicorp.com/3/JPG_400/MI0003/090/MI0003090485.jpg?partner=allrovi.com
0000081194;"Bobby ""Blue"" Bland";;"Blues, R&B;";"Electric Texas Blues, Regional Blues, Soul-Blues, Texas Blues, Early R&B;, Retro-Soul, Soul";http://cps-static.rovicorp.com/3/JPG_400/MI0003/827/MI0003827409.jpg?partner=allrovi.com
0000832288;Robert Johnson;;Blues;Country Blues, Delta Blues, Pre-War Blues, Pre-War Country Blues, Regional Blues, Slide Guitar Blues;http://cps-static.rovicorp.com/3/JPG_400/MI0001/468/MI0001468589.jpg?partner=allrovi.com
0000076881;Jimmy Reed;;"Blues, International, Pop/Rock, R&B;";"Blues Revival, Electric Chicago Blues, Electric Harmonica Blues, Regional Blues, Cajun, Early R&B;, North American Traditions";http://cps-static.rovicorp.com/3/JPG_400/MI0001/400/MI0001400765.jpg?partner=allrovi.com
0000815039;John Lee Hooker;;Blues;Acoustic Blues, Blues Revival, Country Blues, Delta Blues, Detroit Blues, Electric Blues, Electric Delta Blues, Regional Blues, Contemporary Blues;http://cps-static.rovicorp.com/3/JPG_400/MI0002/749/MI0002749029.jpg?partner=allrovi.com
0000942529;Buddy Guy;;Blues;Chicago Blues, Electric Blues, Electric Chicago Blues, Modern Electric Chicago Blues, Regional Blues;http://cps-static.rovicorp.com/3/JPG_500/MI0003/879/MI0003879313.jpg?partner=allrovi.com
0000617844;Albert King;;"Blues, R&B;";"Modern Electric Blues, Soul-Blues, Urban Blues, Early R&B;";http://cps-static.rovicorp.com/3/JPG_500/MI0001/400/MI0001400118.jpg?partner=allrovi.com
